time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1641168430,7cc427,-37.66236877441406,145.49696902011303,40.5987262639976,171.2538377374448,-0.32512,R8666   ,False,False,False,1200.0,830.58,830.58,1641168429.735,1641168429.735
1641168540,abd19e,40.47358626026218,-87.84611788663,255.39489350707012,167.67148259847795,5.52704,SWA519  ,False,False,False,3056.0,8549.640000000001,8435.340000000002,1641168539.904,1641168539.99
1641168120,a9a862,43.3948974609375,-83.0273863326671,309.3489983494415,81.68124806575685,-19.5072,N721MM  ,False,False,False,2471.0,14051.28,13876.020000000002,1641168119.82,1641168119.899
1641170460,e49445,-22.695785522460938,-46.75546542080963,221.80114500343043,295.8518625420604,8.45312,AZU2624 ,False,False,False,,7787.64,8244.84,1641170459.924,1641170459.924
1641168530,4ca516,45.44345661745233,12.272733362709603,66.269493191685,42.48312434306048,-3.5763200000000004,BCS82E  ,False,False,False,4373.0,365.76,480.06,1641168529.995,1641168529.995
1641169440,a43e60,26.1558837890625,-79.96347103478774,116.30189689988649,174.4154977230131,-6.502400000000001,,False,False,False,,1524.0,2247.9,1641169343.525,1641169343.525
1641170520,4005c0,41.77043850139036,-72.16484602107556,321.4188310633932,62.8607798452486,10.40384,BAW9159 ,False,False,False,1120.0,10020.3,10012.68,1641170519.002,1641170519.975
1641168080,a8d6de,33.89356710143009,-79.94625091552734,267.7175670690163,24.64441629536501,0.32512,NKS1400 ,False,False,False,1032.0,10675.62,10988.04,1641168062.787,1641168077.334
1641169670,a9ff1e,43.30073547363281,-80.34736101017438,187.93055461579203,263.55588615611725,0.0,EJA743  ,False,False,False,1310.0,12192.0,11963.4,1641169669.722,1641169669.977
1641168550,a19df5,30.26939392089844,-95.55665857651655,222.1945513734811,282.29858984407986,0.0,N203JE  ,False,False,False,3542.0,13106.4,13403.580000000002,1641168546.324,1641168549.825
1641168930,750304,3.432948225635593,101.5673722891972,102.87079288423948,25.155372433868347,5.8521600000000005,MXD1206 ,False,False,False,,2910.84,3032.76,1641168892.659,1641168892.659
1641168440,76cd76,-34.53822326660156,148.2370119678731,287.46558086938046,82.49344136968381,-4.8768,SIA231  ,False,False,False,2274.0,12283.44,12771.12,1641168439.743,1641168439.99
1641171270,ac3079,44.12151272014036,-91.74597603934154,151.10473495585526,124.17698877379291,-8.77824,SKW4334 ,False,False,False,4552.0,2613.6600000000003,2522.2200000000003,1641171181.884,1641171213.926
1641171260,a5d02e,46.70365905761719,-120.72989859232086,184.31315954417155,305.68640109069497,-9.42848,COL474  ,False,False,False,,9776.46,9517.38,1641171259.915,1641171259.967
1641170150,a56a18,36.188507080078125,-121.3835906982422,225.00442071923888,320.1944289077348,-12.02944,UAL1243 ,False,False,False,3277.0,9113.52,9296.4,1641170149.583,1641170149.878
1641170910,ac1466,33.688970016220864,-84.88117218017578,118.1710454229844,165.11678453189842,-5.20192,DAL1203 ,False,False,False,6360.0,2369.82,2354.58,1641170909.942,1641170909.99
1641170520,a33d97,42.33334816108316,-77.51039726789605,269.07388409153793,40.11413779063067,-1.30048,FFT2542 ,False,False,False,2161.0,7018.02,6873.240000000001,1641170519.728,1641170519.98
1641171070,e80270,,,195.52797625845844,191.07341873171163,-8.128,LPE2344 ,False,False,False,,,,,1641171069.99
1641169840,86d94a,35.35359191894531,139.68074798583984,173.33785791283472,227.64624108065013,12.35456,ANA561Y ,False,False,False,4637.0,3886.2,3878.58,1641169839.812,1641169839.914
1641169000,a28904,34.10957336425781,-99.11938102877872,262.7696157122859,120.07880143768298,-4.8768,UAL315  ,False,False,False,3746.0,9745.98,9913.62,1641168999.366,1641168999.958
1641171570,a1d44e,30.23414223881091,-98.21634521484371,230.8226014491911,6.269682577081685,0.0,SWA162  ,False,False,False,3314.0,10058.4,10317.48,1641171569.798,1641171569.945
1641170950,a05f31,31.143035888671875,-101.07265696806064,205.4918852276742,285.98480152023456,0.0,DAL688  ,False,False,False,2724.0,9753.6,10027.92,1641170766.803,1641170947.772
1641169010,a85999,,,,,,ASA327  ,False,False,False,,,,,1641168975.629
1641168830,484410,45.46461868286133,-73.73634338378906,,,,KLM672  ,True,False,False,,,,1641168827.518,1641168827.518
1641169120,a28b00,33.4321878724179,-118.09450733418367,214.68100079161343,320.9327810186336,3.90144,JSX619  ,False,False,False,,7894.320000000001,8069.580000000001,1641169119.919,1641169119.972
1641169670,800740,3.320524571305614,101.40234059300916,237.8456602259889,151.1620595806194,0.0,AIC308  ,False,False,False,,11879.58,12573.0,1641169669.852,1641169669.852
1641170100,7c6d8f,-28.279541015625,152.5939706655649,193.4336803849001,216.56513573542296,3.90144,QFA617  ,False,False,False,,8161.02,8602.98,1641170099.973,1641170099.974
1641171040,ab23b5,47.46065818657309,-122.31790395883417,73.56729073325454,180.40066325579213,-0.65024,DAL796  ,False,False,False,1512.0,205.74,114.3,1641170634.706,1641171022.204
1641169150,ab3cbb,33.48101806640625,-113.99057006835938,251.04709071223303,83.64684247483346,-1.95072,N823HM  ,False,False,False,,7338.06,7559.040000000001,1641169149.904,1641169149.91
1641170030,40717d,55.12495422363281,-4.153962976792286,182.64718231566312,43.85880074441287,-8.128,EXS76CT ,False,False,False,4456.0,6035.04,5852.16,1641170029.981,1641170029.981
1641168910,7cc427,-37.791595458984375,145.50427375955786,39.77553792188118,174.80557109226518,-0.32512,R8666   ,False,False,False,1200.0,807.72,800.1,1641168909.335,1641168909.88
1641168450,a94b2b,29.844268798828125,-82.74706913874701,259.50270796572164,4.3203015700246485,4.8768,UAL1712 ,False,False,False,,9113.52,9502.14,1641168447.66,1641168448.866
1641171550,c05edd,43.68878173828125,-79.62576045546422,,,,00000   ,True,False,False,1000.0,99.06,,1641171546.448,1641171549.47
